"Timestamp","Username","Are you willing to pledge your commitment to the Shorter Shower Challenge?","How much time will you reduce your shower by?","How long are you willing to participate in this challenge?","When will you begin this challenge?","Preferred Shower Temperature?","Do you have any other questions before beginning this challenge?"
"2025/03/21 9:04:13 PM AST","Anonymous","Yes","5 minutes","6 months","after break","Warm","no!"
"2025/03/21 9:04:38 PM AST","Anonymous","Yes","5 minutes","6 months","April","Warm","No!"
"2025/03/21 9:13:20 PM AST","Anonymous","Yes","3 minutes","6 months","Next shower","Super Hot","How am I suppose to record this?"
"2025/03/21 9:18:07 PM AST","Anonymous","Yes","5 minutes","6 months","today!","Warm","n/a"
"2025/03/21 9:34:14 PM AST","Anonymous","Yes","5 minutes","6 months","Now","Lukewarm","No"
"2025/03/21 9:35:57 PM AST","Anonymous","Yes","4 minutes","One year","Today","Lukewarm","No"
"2025/03/21 10:30:44 PM AST","Anonymous","Yes","5 minutes","6 months","March 22nd","Warm","No"
"2025/03/21 10:51:51 PM AST","Anonymous","Yes","5 minutes","6 months","Upon my return from spring break","Super Hot","No"
"2025/03/21 10:58:45 PM AST","Anonymous","Yes","5 minutes","One year","today","Warm","no"
"2025/03/21 11:02:33 PM AST","Anonymous","Yes","5 minutes","6 months","now ","Warm","no"
"2025/03/22 7:53:48 AM AST","Anonymous","Yes","5 minutes","6 months","Now","Super Hot","No"
"2025/03/22 1:06:57 PM AST","Anonymous","Yes","5 minutes","6 months","april 1st","Warm","no"
"2025/03/22 1:47:19 PM AST","Anonymous","Yes","5 minutes","6 months","Today","Warm","No"
"2025/03/22 4:43:57 PM AST","Anonymous","Yes","5 minutes","6 months","After I get back from Spring Break (March 27)","Warm","Nope!"
"2025/03/22 4:58:53 PM AST","Anonymous","Yes","5 minutes","6 months","4/1/24","Warm","No"
"2025/03/22 5:15:07 PM AST","Anonymous","Yes","5 minutes","6 months","Tomorrow ","Super Hot","No"
"2025/03/23 4:27:48 PM AST","Anonymous","Yes","5 minutes","One year","Today","Warm","No"
"2025/03/23 4:32:40 PM AST","Anonymous","Yes","3 minutes","One year","3/24/25","Warm","n/a"
"2025/03/23 4:42:49 PM AST","Anonymous","Yes","3 minutes","6 months","Now","Warm","No"
"2025/03/23 5:36:07 PM AST","Anonymous","Yes","3 minutes","One year","Today","Warm","N/a"
"2025/03/23 5:48:53 PM AST","Anonymous","Yes","5 minutes","One year","April 1","Cold","Go Bensky"
"2025/03/24 10:13:36 AM AST","Anonymous","Yes","4 minutes","6 months","April 1","Warm","nope"
"2025/03/24 11:03:12 AM AST","Anonymous","Yes","3 minutes","6 months","Now","Warm","No"
"2025/03/27 7:14:55 PM AST","Anonymous","Yes","5 minutes","6 months","Now","Warm","N/A"
"2025/03/28 2:25:28 PM AST","Anonymous","Yes","5 minutes","One year","Tonight ","Super Hot","No"
"2025/03/28 2:29:13 PM AST","Anonymous","Yes","5 minutes","One year","Today","Super Hot","N/a"
"2025/03/28 2:31:36 PM AST","Anonymous","Yes","3 minutes","One year","Idk","Lukewarm","I want a prize"
"2025/03/28 2:33:00 PM AST","Anonymous","Yes","5 minutes","One year","today","Super Hot","no thanks"
"2025/03/28 3:05:52 PM AST","Anonymous","No","5 minutes","6 months","Today","Warm","no"
"2025/03/29 3:38:41 PM AST","Anonymous","Yes","3 minutes","6 months","3/29/25","Warm","no"
"2025/03/30 8:02:07 PM AST","Anonymous","Yes","3 minutes","6 months","today.","Super Hot","no.,"
"2025/03/31 2:46:44 AM AST","Anonymous","Yes","5 minutes","6 months","04/01/2025","Super Hot","No "
"2025/03/31 10:38:52 AM AST","Anonymous","Yes","3 minutes","6 months","April 1, 2025","Warm","No"
"2025/04/01 9:21:42 AM AST","Anonymous","Yes","5 minutes","One year","This month ","Warm","No"
"2025/04/01 9:25:30 AM AST","Anonymous","Yes","5 minutes","One year","Today","Warm","No"
"2025/04/01 4:50:26 PM AST","Anonymous","Yes","4 minutes","6 months","This summer ","Super Hot","N/A"
"2025/04/01 4:55:10 PM AST","Anonymous","Yes","4 minutes","One year","Immediately ","Warm","No"
"2025/04/01 4:56:42 PM AST","Anonymous","Yes","3 minutes","6 months","4/7/25","Warm","No"
"2025/04/01 9:45:14 PM AST","Anonymous","Yes","5 minutes","One year","04/03/2025","Lukewarm","No"
"2025/04/01 9:47:03 PM AST","Anonymous","Yes","3 minutes","6 months","ASAP!","Cold","N/A"
"2025/04/02 9:09:24 AM AST","Anonymous","Yes","4 minutes","6 months","Today","Lukewarm","No Questions"
"2025/04/02 11:27:39 AM AST","Anonymous","Yes","5 minutes","One year","tomorrow","Warm","no"
"2025/04/03 10:32:42 AM AST","Anonymous","Yes","3 minutes","6 months","Today","Warm","no"
"2025/04/03 10:33:17 AM AST","Anonymous","Yes","5 minutes","6 months","Monday, April 7th","Warm","No!"
"2025/04/03 10:44:20 AM AST","Anonymous","Yes","5 minutes","One year","Today","Lukewarm","No"
"2025/04/03 6:06:54 PM AST","Anonymous","Yes","4 minutes","One year","now","Lukewarm","no"
"2025/04/03 6:10:44 PM AST","Anonymous","Yes","5 minutes","One year","Next Monday ","Lukewarm","No thanks!"
"2025/04/03 6:25:01 PM AST","Anonymous","Yes","5 minutes","One year","now","Cold","n/a"
"2025/04/03 6:45:07 PM AST","Anonymous","Yes","5 minutes","One year","Immediately ","Cold","How can I help! "
"2025/04/04 12:31:40 AM AST","Anonymous","Yes","5 minutes","One year","today","Warm","-"
"2025/04/04 12:35:32 AM AST","Anonymous","Yes","5 minutes","One year","tomorrow","Warm","N/A"
"2025/04/04 7:08:02 AM AST","Anonymous","Yes","5 minutes","6 months","Maybe next week ","Warm","No"
